"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Total population","Asian alone (percent)","Black alone (percent)","Hispanic alone (percent)","White alone (percent)","Non-white (percent)"
"2017-21","Citywide","1","0","-","-","New York City","New York City","8,736,047","14.1","21.1","28.9","31.9","68.1"
"2017-21","Borough","1","1","1","Bronx","Bronx","Bronx","1,468,262","3.7","28.5","56.1","9.0","91.0"
"2017-21","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","2,712,360","11.7","28.6","18.8","36.7","63.3"
"2017-21","Borough","3","1","3","Manhattan","Manhattan","Manhattan","1,669,127","11.8","12.1","25.6","46.7","53.3"
"2017-21","Borough","4","1","4","Queens","Queens","Queens","2,393,104","25.6","16.8","27.9","24.6","75.4"
"2017-21","Borough","5","1","5","Staten Island","Staten Island","Staten Island","493,194","10.4","9.1","18.4","59.6","40.4"
"2017-21","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","96,643","3.7","11.3","45.6","35.8","64.2"
"2017-21","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","212,012","3.5","56.6","27.7","8.2","91.8"
"2017-21","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","271,446","4.2","20.2","66.8","6.5","93.5"
"2017-21","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","308,864","8.4","19.4","53.3","15.6","84.4"
"2017-21","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","219,815","1.3","27.1","67.0","2.3","97.7"
"2017-21","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","220,270","1.0","33.5","61.0","2.4","97.6"
"2017-21","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","144,304","0.4","26.4","69.8","2.3","97.7"
"2017-21","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","105,594","5.2","3.4","21.9","64.9","35.1"
"2017-21","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","275,295","9.0","12.7","14.8","57.7","42.3"
"2017-21","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","354,128","2.7","57.5","14.1","20.9","79.1"
"2017-21","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","205,414","4.4","50.5","37.7","3.9","96.1"
"2017-21","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","122,085","35.9","3.0","41.9","17.2","82.8"
"2017-21","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","343,418","21.9","4.2","13.0","57.2","42.8"
"2017-21","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","304,594","3.0","64.5","10.2","17.9","82.1"
"2017-21","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","212,409","4.9","63.3","9.3","18.4","81.6"
"2017-21","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","213,566","28.1","2.2","16.7","49.9","50.1"
"2017-21","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","302,072","18.7","6.5","12.0","58.9","41.1"
"2017-21","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","231,221","5.5","24.1","39.6","27.3","72.7"
"2017-21","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","272,205","3.4","10.6","63.9","19.3","80.7"
"2017-21","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","183,460","5.7","47.1","25.3","17.9","82.1"
"2017-21","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","114,703","8.3","28.7","45.2","14.4","85.6"
"2017-21","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","232,499","10.1","5.8","15.1","64.9","35.1"
"2017-21","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","217,508","10.6","2.8","9.1","74.5","25.5"
"2017-21","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","161,322","15.5","5.2","16.6","58.5","41.5"
"2017-21","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","138,768","15.2","4.4","10.1","66.2","33.8"
"2017-21","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","81,647","18.0","2.5","8.5","67.5","32.5"
"2017-21","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","191,254","24.6","6.6","20.4","44.7","55.3"
"2017-21","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","64,008","21.9","5.9","8.7","58.6","41.4"
